sentiment,text,username
negative,RT @ngwange_ngala: The World has turn a blind eye on #Cameroon as #PaulBiya troops continue #GenocideInSouthernCameroons \n@RepKarenBass  @B…,NdiforTamenang
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,mercy_brownson
negative,I cheer for the #IndomitableLions 🦁🇨🇲 in this #TotalAFCON2019 game against Nigeria 🇳🇬! Go Cameroon! #NGACMR #FootballTogether,JameenJakes
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,YonguIsaac
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,hemba_O
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,amesdegreat
negative,I cheer for the #IndomitableLions 🦁🇨🇲 in this #TotalAFCON2019 game against Nigeria 🇳🇬! Go Cameroon! #NGACMR #FootballTogether,Pharrell071
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,_omodayo
negative,I cheer for the #IndomitableLions 🦁🇨🇲 in this #TotalAFCON2019 game against Nigeria 🇳🇬! Go Cameroon! #NGACMR #FootballTogether#cmr,MisterChris14
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,Kanti560
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,ItzAmberJay
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,abdul_viper
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,Nwankpa_A
negative,The World has turn a blind eye on #Cameroon as #PaulBiya troops continue #GenocideInSouthernCameroons… https://t.co/yJlwDAkFDv,ngwange_ngala
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether \n\n#L3ssF**kGiv3n,MelodyThatsMe
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,IJoshlove
neutral,RT @TotalAFCON2019: Last 16:\nEgypt 🇪🇬 vs South Africa 🇿🇦 \nMadagascar 🇲🇬 vs DRC 🇨🇩\nNigeria 🇳🇬 vs Cameroon 🇨🇲 \nSenegal 🇸🇳 vs Uganda 🇺🇬 \nAlger…,dave4lif
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,OrizuOliver
